highway,osmid,ref,x,y,geometry
,1410728796,,116.3022096,39.8950714,POINT (116.3022096 39.8950714)
,1621476190,,116.2187505,39.9534346,POINT (116.2187505 39.9534346)
,1621476196,,116.2326979,39.9518624,POINT (116.2326979 39.9518624)
,1410728806,,116.3040563,39.89509,POINT (116.3040563 39.89509)
bus_stop,1423967079,,116.281904,40.0069532,POINT (116.281904 40.0069532)
,1410728808,,116.3060387,39.8950947,POINT (116.3060387 39.8950947)
traffic_signals,1621476201,,116.2310089,39.9530772,POINT (116.2310089 39.9530772)
,1410728815,,116.3045183,39.8950926,POINT (116.3045183 39.8950926)
,1410728816,,116.3067417,39.8950807,POINT (116.3067417 39.8950807)
traffic_signals,1747714928,,116.3653176,39.9495758,POINT (116.3653176 39.9495758)
,1722893168,,116.2693348,39.944767,POINT (116.2693348 39.944767)
traffic_signals,239453042,,116.2983116,39.9961848,POINT (116.2983116 39.9961848)
,604881779,,116.3040028,39.9448545,POINT (116.3040028 39.9448545)
traffic_signals,1722893173,,116.2678676,39.9449009,POINT (116.2678676 39.9449009)
,1747714935,,116.3653768,39.9507394,POINT (116.3653768 39.9507394)
,1410728825,,116.3066743,39.8951634,POINT (116.3066743 39.8951634)
,4580033415,,116.2328737,39.9283729,POINT (116.2328737 39.9283729)
,4580033416,,116.232046,39.9188584,POINT (116.232046 39.9188584)
,5873173390,,116.3151845,39.974679,POINT (116.3151845 39.974679)
,1852179343,,116.1721873,40.0669424,POINT (116.1721873 40.0669424)
,1410728848,,116.3077021,39.8954623,POINT (116.3077021 39.8954623)
,5873173393,,116.3168132,39.9732932,POINT (116.3168132 39.9732932)
,528909202,,116.331168,39.9485801,POINT (116.331168 39.9485801)
,1852179349,,116.1721853,40.0671335,POINT (116.1721853 40.0671335)
,4580033431,,116.2329709,39.9244467,POINT (116.2329709 39.9244467)
,1410728863,,116.3022049,39.895669,POINT (116.3022049 39.895669)
,1410728865,,116.3006322,39.895671,POINT (116.3006322 39.895671)
,1410728867,,116.3074481,39.8956747,POINT (116.3074481 39.8956747)
,4580033443,,116.232935,39.9240687,POINT (116.232935 39.9240687)
,1410728869,,116.3061097,39.8956854,POINT (116.3061097 39.8956854)
,1410728871,,116.3033899,39.8958152,POINT (116.3033899 39.8958152)
motorway_junction,1410728873,,116.2998802,39.8958104,POINT (116.2998802 39.8958104)
,1410728874,,116.3071789,39.8958244,POINT (116.3071789 39.8958244)
,754516906,,116.3253319,39.9220675,POINT (116.3253319 39.9220675)
,5923357609,,116.1947445,39.9904978,POINT (116.1947445 39.9904978)
,1293140906,,116.2765117,39.9762756,POINT (116.2765117 39.9762756)
,1293140911,,116.2779043,39.974747,POINT (116.2779043 39.974747)
,754516912,,116.3283231,39.9013222,POINT (116.3283231 39.9013222)
,1410728881,,116.2990256,39.8959992,POINT (116.2990256 39.8959992)
traffic_signals,286278583,,116.3134033,40.0464761,POINT (116.3134033 40.0464761)
motorway_junction,1410728901,,116.3045151,39.8966757,POINT (116.3045151 39.8966757)
,1410728903,,116.3040763,39.8966803,POINT (116.3040763 39.8966803)
traffic_signals,1943225288,,116.2822398,39.9456873,POINT (116.2822398 39.9456873)
,1410728905,,116.3033795,39.8966935,POINT (116.3033795 39.8966935)
,1293140938,,116.2800455,39.9743713,POINT (116.2800455 39.9743713)
,1410728907,,116.305192,39.8967076,POINT (116.305192 39.8967076)
traffic_signals,1943225291,,116.2822381,39.9458019,POINT (116.2822381 39.9458019)
,4580033486,,116.2274608,39.923192,POINT (116.2274608 39.923192)
traffic_signals,325026770,,116.2687975,39.9186211,POINT (116.2687975 39.9186211)
,1293140952,,116.2824647,39.9771645,POINT (116.2824647 39.9771645)
motorway_junction,237585368,41,116.3029555,40.0158058,POINT (116.3029555 40.0158058)
,863224797,,116.3203903,39.9912611,POINT (116.3203903 39.9912611)
,4730618849,,116.275982,40.0701061,POINT (116.275982 40.0701061)
,4730618850,,116.2756431,40.0708701,POINT (116.2756431 40.0708701)
,4730618851,,116.2765859,40.0710964,POINT (116.2765859 40.0710964)
,4730618852,,116.2762531,40.0718273,POINT (116.2762531 40.0718273)
,4730618853,,116.2768755,40.0720395,POINT (116.2768755 40.0720395)
,863224801,,116.3203423,39.9919609,POINT (116.3203423 39.9919609)
,2449589220,,116.3092875,39.9957988,POINT (116.3092875 39.9957988)
traffic_signals,754516974,,116.3229688,39.899132,POINT (116.3229688 39.899132)
,1410728945,,116.3040526,39.8976888,POINT (116.3040526 39.8976888)
